Alimento;Kcal (por 100 g);Grasas (g/100 g);Proteínas (g/100 g);Carbohidratos (g/100 g)
Papa ya;35;0,09;0,5;7,1
Pera;49,4;0,1;0,43;10,6
Piña;50,8;0,4;0,44;10,4
Plátano;95,2;0,27;1,1;20,8
Plátano macho o hartón;141;0,37;1,3;31,9
Pomelo;36,7;0,15;0,63;7,4
Sandia;28,4;0,3;0,63;5,6
Tamarindo, pulpa;277;0,6;2,8;62,5
Uva blanca;70,3;0,16;0,72;16,1
Uva negra;67,1;0,16;0,72;15,5
Albaricoque seco (orejones);283;0,51;3,4;62,6
Ciruela seca;219;0,52;2,2;42,4
Coco rallado;633;62;5,6;6,4
Dátil;289;0,45;1,9;65,1
Higo seco;272;1,3;3,6;55,1
Melocotón seco (orejones);257;0,76;3;53,2
Pasa;305;0,5;2,5;69,3
Almendra con cascara;610;54,1;18,7;5,4
Almendra frita salada sin cascara;618;55,2;19;3,8
Almendra sin cascara;610;54,1;18,7;5,4
Almendra tostada sin cascara;633;52,9;22,9;9,7
Anacardo;578;42,2;17,5;30,5
Avellana con cascara;661;61,6;12;10,5
Avellana sin cascara;661;61,6;12;10,5
Cacahuete con cascara;563;46;25,2;7,9
Cacahuete frito salado sin cascara;627;53;24,5;8,9
Cacahuete sin cascara;563;46;25,2;7,9
Cacahuete tostado y salado sin cascara;615;49,7;23,9;14
Castaña;190;2,2;2,7;36,5
Castaña asada;237;5,3;4;39,7
Chufa;443;23,7;6,1;42,5
Nueces de macadamia sin cascara;744;75,8;7,9;4,8
Nueces pecanas sin cascara;732;73,8;9,3;2,9
Nuez con cascara;649;62,5;14,4;4,4
Nuez sin cascara;649;62,5;14,4;4,4
Piñón con cascara;706;68,6;14;3,9
Piñón sin cascara;706;68,6;14;3,9
Pipa de girasol pelada con sal;640;56,8;17,3;9,1
Pipa de girasol pelada sin sal;652;56,8;17,3;12,2
Pipa de girasol sin sal;569;47,5;19,8;12,3
Pipas de calabaza sin cascara tostadas sin sal;635;49,1;29,9;14,7
Pistacho;603;51,6;17,7;11,6
Pistacho tostado salado;613;52,7;18;12,5
Semilla de lino;514;42,2;18,3;1,6
Semilla de sésamo;605;49,7;17,7;15,8
Tahine;642;53;17,4;21,5
Compota de manzana;81,3;0,1;0,2;19,1
Crema de almendras;341;13,2;4,6;50,7
Crema de cacahuete;619;47,8;30,1;13,6
Dulce de membrillo y pastas de frutas;259;0;1;62,2
Lichi en conserva;117;0,3;0,9;27
Mace donia de frutas en almíbar;68,6;0,1;0,62;15,8
Macedonia de frutas en su jugo;63,1;0,03;0,7;14,5
Melo cotón en almíbar;58,6;0,03;0,38;14,2
Mermelada de albaricoque y melocotón;258;0,2;0,32;63,2
Mermelada de cereza;251;0,16;0,38;60,9
Merm elada de ciruela;251;0,63;0,31;59,6
Merm elada de frambuesa;251;0,3;0,45;60,9
Merm elada de fresa;255;0,2;0,31;62,6
Mermelada de fresa baja en calorías;33;0;0,7;6,4
Merm elada de mora;239;;0,5;58,7
Merm elada de naranja;234;0;0,38;58
Mermelada de tomate;197;0,14;0,56;48
Pera en almíbar;62,9;0,1;0,25;14,5
Piña en almíbar;65,8;0,11;0,38;15,4
Piña en su jugo;42,9;0,099;0,4;9,7
Zumo de limón natural;33,1;0,29;0,4;6,1
Zumo de naranja;43,6;0,2;0,69;9,4
Leche concentrada;132;7,6;6,5;9,3
Leche condensada azucarada;336;10,1;8,5;52,8
Leche condensada desnatada con azúcar;282;0,2;10;60
Leche de cabra;66,7;3,9;3,7;4,2
Leche de oveja;96,7;6,3;5,3;4,7
Leche de vaca desnatada;37;0,2;3,9;4,9
Leche de vaca entera;65,4;3,8;3,1;4,7
Leche de vaca semidesnatada;47,6;1,6;3,5;4,8
Leche desnatada sin lactosa;36,6;0,2;3,9;4,8
Leche en polvo desnatada;352;0,64;36,1;50,4
Leche en polvo entera;477;26,2;25,2;35,1
Leche en polvo semidesnatada;442;16,3;29,8;43,9
Leche entera sin lactosa;65,4;3,8;3,1;4,7
Leche evaporada entera;151;9,4;8,4;8,1
Leche materna calostro;53,5;2,6;2,6;4,9
Leche materna madura;68,8;4;1,2;7
Leche materna transicional;66,5;3,7;1,7;6,6
Leche merengada;83,6;3,2;3;10,7
Leche semidesnatada sin lactosa;47,6;1,6;3,5;4,8
Kéfir;63,9;3,5;3,3;4,8
Leche fermentada con lactobacillus acidophilus;98,5;3,3;3,1;14,1
Leche fermentada con lactobacillus casei;88,3;3,3;3;11,7
Leche fermentada tipo bio con frutas;84,9;1,7;4;13,4
Leche fermentada tipo bio desnatado con frutas;53;0,021;4,7;8,5
Leche fermentada tipo bio desnatado natural;42,7;0,3;4,9;5,1
Leche fermentada tipo bio natural;62,6;3,4;3,6;4,4
Yogur de soja;90;1,2;2,4;17,1
Yogur desnatado con cereales;56,5;1,1;4,6;6,9
Yogur desnatado con fruta;71,6;0,2;3,8;13,1
Yogur desnatado de sabores;90,1;0,9;3,8;16,7
Yogur desnatado natural;45,3;0,32;4,3;6,3
Yogur desnatado natural azucarado;75,9;0,3;4,5;13,8
Yogur desnatado natural edulcorado;40,5;0,32;4,3;5,1
Yogur entero con cereales;89,6;3,8;3,9;9,1
Yogur entero con fruta;94,9;2,3;3,8;14,3
Yogur entero de sabores;115;3,4;5,4;15,6
Yogur entero natural azucarado;85,9;1,9;3,5;13,7
Yogur liquido con pulpa de fruta;81,9;1,5;2,8;14,3
Yogur liquido de sabores;75,4;1,4;2,9;12,8
Yogur liquido natural azucarado;69,2;1,2;3;11,6
Yogur natural entero;61,4;2,6;4;5,5
Yogur sin lactosa natural azucarado;70,7;1,9;3,5;9,9
Yogur tipo griego;139;10,2;6,4;5,4
Queso azul;353;29,8;21,1;
Queso Brie;342;27,9;22,6;0,1
Queso Camembert;285;22,3;21;0,1
Queso Cheddar;393;32,2;25,4;0,36
Queso de Arzua;339;29;19,4;
Queso de bola;329;24,9;25,5;0,8
Queso de Burgos;200;14,9;14;2,5
Queso de cabra curado;467;39,6;27,6;
Queso de cabra semicurado;327;28,2;18,3;0,1
Queso de cabra tierno;208;17,6;11,1;1,2
Queso de Cabrales;392;34;21,5;
Queso Edam;356;27,8;25;1,4
Queso Emmental;397;31,2;29;0
Queso en lonchas;327;24,2;25,1;2,2
Queso en porciones;376;32,4;15,6;5,4
Ques o en porciones descremado;162;10,7;10;6,5
Queso gallego;352;28;23;2
Queso Gorgonzola;361;31,2;19,4;0,62
Queso Gouda;331;25,4;25,5;0
Queso Gruyere;397;32,1;26,9;
Queso Havarti;413;37;20;0
Queso Idiazabal;443;38,9;23,3;
Queso Mahón;411;33,7;26,9;0
Queso manchego curado;476;35,8;38;0,51
Queso manchego fresco;333;25,4;26;
Queso manchego semicurado;391;30,4;28,8;0,5
Queso Mozzarella;233;16,1;19,9;2,2
Queso Parmesano;375;25,8;35,6;0,06
Queso quark 20%mg;71,3;2,9;7,8;3,5
Queso quark descremado;67,9;0,25;13,2;3,2
Queso raclette;369;29,6;25;0,69
Queso ricotta;156;10,5;11,5;3,8
Queso Roncal;448;38,8;24,7;0
Queso Roquefort;369;30,6;21,5;2
Queso San Simón;382;31,7;24,2;
Queso tetilla;399;34,5;22;
Queso tipo manchego en aceite;471;40,5;26,5;
Queso tipo petit de chocolate;182;6,4;4,3;26,9
Queso tipo petit de sabores;122;4;7,5;14
Queso tipo petit natural azucarado;120;4;7,3;13,7
Queso Torta del Casar;399;32,6;26,3;
Queso zamorano;439;37,5;25,3;
Requesón;101;4,3;12,3;3,3
Arroz con leche;121;1,3;3,3;23,9
Copa de chocolate y nata;182;9,3;3,2;21,2
Crem a de chocolate;199;10,7;3,6;21,2
Cuajada;86,7;4,7;4,5;6,6
Flan de huevo;143;4,6;5;20,4
Flan de vainilla;122;1,6;3;23,9
Flan instantáneo en polvo;366;0;0;91,6
Helado cremoso;177;8,6;4;21
Helado de chocolate;191;11;3,8;18,5
Helado de fresa;186;8,4;3,2;24
Helado de nata;199;10,8;3,9;21,5
Mous se de chocolate;150;6,5;4;18,9
Natillas;103;2,9;3,7;15,5
Natillas de chocolate;133;4,1;4,2;19,8
Yogu r helado;131;3,6;3;21,6
Batido de cacao;84;3,6;2,7;9,8
Batido de fresa;65,8;1;2,8;11
Batido de vainilla;63,4;1;2,9;10,3
Bebida comercial de zumo y leche;51,7;0,1;0,7;12
Nata liquida para cocinar;125;10,5;3,1;4,5
Nata liquida para montar;307;31,7;2,4;3,1
Nata montada;308;31,7;2,4;3,3
Añojo de 2ª y 3ª;212;14,4;20,7;0
Añojo lomo;256;21,6;15,4;
Carn e de vaca 2ªy3ª;234;16,2;22;0
Carne de vaca grasa;200;14;18,6;0
Carn e de vaca magra;120;4,3;20,3;0
Carn e semigrasa de vaca;160;9,3;19,1;0
Chuleta de ternera;107;2,6;20,9;0
Kebab, ternera;216;14,6;18,9;2,2
Lomo de ternera;120;6;16,6;0
Rabo de toro;242;18,6;18,6;0
Solomillo añojo;102;4,6;15,1;0
Solomillo de buey;104;3,5;18,2;0
Solomillo de ternera;103;2,5;20,2;
Solomillo de vaca;272;22,8;16,6;0
Ternera de 2ª y 3ª;131;6,3;18,6;
Ternera magra;131;5,4;20,7;
Ternera semigrasa;205;13,6;20,6;0
Bacon;682;69,3;14,6;0
Carne de cerdo semigrasa;219;16,5;17,5;
Cerdo magro;156;7,6;22;
Chuleta de cerdo;352;29,5;21,7;0
Costilla de cerdo;281;23,6;17,1;0
Lomo de cerdo;305;26,6;16,3;0
Mani ta de cerdo;291;25;16;0,5
Paletilla de cerdo;349;29,2;21,5;0
Panceta;471;46,6;12,5;0,5
Solomillo de cerdo;158;7,6;22,3;
Tocino;655;71;4,1;0
Chuleta de cordero;250;20,6;16,2;0
Paleta de cordero;151;11,8;11,1;0
Pierna de cordero;178;11,8;17,9;0
Ala de pollo;217;16;18,3;0
Capó n asado;221;11,7;29;0
Codo rniz;110;2,3;22,4;0
Faisán entero;155;6,6;23,8;0
Gallina entera;232;18,1;17,3;0
Muslo de pavo;114;3,6;20,5;0
Muslo de pollo;183;11,2;20,6;0
Oca deshuesada sin piel;155;7,1;22,8;0
Oca entera;366;33,6;15,9;0
Paloma;288;23,8;18,5;0
Pato entero;227;17,2;18,1;0
Pavo;157;8,5;20,2;0
Pechuga de pavo;105;0,99;24,1;
Pech uga de pollo;145;6,2;22,2;0
Pollo entero;166;9,6;19,9;0
Solomillo de avestruz;114;3;21,7;0
Callos de ternera;134;8,3;14,8;0
Corazón de cerdo;114;4,4;17,3;1,3
Corazón de cordero;118;5,7;16,5;0,21
Corazón de pollo;149;9,3;15,6;0,71
Cora zón de vaca;104;4;17;0
Hígado de cerdo;131;4,9;20,7;0,93
Hígado de cordero;137;5;20,7;2,2
Hígado de pollo;136;4,7;22,1;1,2
Hígado de ternera;136;4,6;19,4;4,2
Hígado de vaca;130;3,4;19,5;5,3
